Distance_km,Travel_Time_min,Avg_Speed_kmh,Traffic_Level,Vehicle_Type,Fuel_Type,CO2_Emission_kg
2.1,2.8,44.4,Moderate,Sedan,Diesel,0.4
7.5,15,30,Moderate,Hatchback,Diesel,1.26
6.1,13.9,26.4,High,Hatchback,Petrol,1.3
34.3,245,8.4,Severe,Sedan,Diesel,11.05
8.1,13.7,35.6,Moderate,Sedan,Petrol,1.75
2.5,14,10.7,Severe,Sedan,Petrol,0.85
9.3,35.1,15.9,High,Sedan,Diesel,2.27
7.6,12.3,37.2,Moderate,Hatchback,Diesel,1.26
51.6,90.3,34.3,Moderate,Sedan,Diesel,10
2,3.4,35.7,Moderate,SUV,Petrol,0.59
7.1,26.5,16.1,High,Hatchback,Petrol,1.59
22.8,25.8,53.1,Low,Hatchback,Petrol,3.53
30.5,32.2,56.8,Low,Hatchback,Diesel,4.09
10.3,10.6,58.4,Low,Sedan,Diesel,1.73
8.1,11.1,43.7,Moderate,Sedan,Petrol,1.63
21.3,38.4,33.3,Moderate,Hatchback,Diesel,3.37
19.6,122.5,9.6,Severe,SUV,Diesel,7.86
46.3,99.6,27.9,High,Hatchback,Petrol,9.81
3.3,3.3,59.3,Low,Hatchback,Diesel,0.48
18.8,22.3,50.6,Low,Sedan,Petrol,3.56
10.2,20.4,30,Moderate,Sedan,Petrol,2.2
7.7,14.1,32.7,Moderate,Sedan,Diesel,1.45
17.3,20.6,50.3,Low,Motorcycle,Petrol,1.6
19.1,45.3,25.3,High,Sedan,Petrol,4.89
12.1,19,38.3,Moderate,Hatchback,Petrol,2.19
16.9,25,40.6,Moderate,Hatchback,Petrol,2.84
9.9,17.7,33.5,Moderate,Sedan,Diesel,1.96
6.4,8.7,44.1,Moderate,Sedan,Petrol,1.39
24.1,178.5,8.1,Severe,Hatchback,Petrol,7
8,10.5,45.8,Low,Sedan,Petrol,1.53
18.4,27.7,39.9,Moderate,Hatchback,Petrol,3.32
12.8,24,32,Moderate,SUV,Petrol,3.69
9.6,14.8,39,Moderate,Hatchback,Petrol,1.71
10.1,12.6,48.1,Low,Hatchback,Diesel,1.44
3,8,22.5,High,Motorcycle,Petrol,0.37
23.7,91.2,15.6,High,SUV,Petrol,8.5
2.4,4.4,33,Moderate,SUV,Diesel,0.6
12.3,33.7,21.9,High,Hatchback,Diesel,2.38
11.3,15,45.3,Low,Hatchback,Petrol,1.79
30.3,82.6,22,High,Hatchback,Petrol,7.22
8,15.1,31.8,Moderate,SUV,Petrol,2.48
18.2,21.5,50.8,Low,Hatchback,Petrol,3
2.9,4.6,37.5,Moderate,Hatchback,Petrol,0.53
32.6,203.8,9.6,Severe,SUV,Diesel,12.85
19.3,22,52.7,Low,Hatchback,Petrol,3.03
8.1,12.2,39.8,Moderate,Sedan,Petrol,1.86
16,19.8,48.4,Low,Sedan,Petrol,3.08
5.6,7.1,47.5,Low,Hatchback,Diesel,0.75
3.2,5.3,36.2,Moderate,Hatchback,Diesel,0.51
17,31.6,32.3,Moderate,SUV,Diesel,4.38
48.3,64.7,44.8,Moderate,Motorcycle,Petrol,4.84
19.3,23.8,48.6,Low,Hatchback,Diesel,2.59
16.8,30.5,33,Moderate,Hatchback,Petrol,2.99
59.7,243.7,14.7,Severe,Hatchback,Petrol,16.55
12.2,22.2,33,Moderate,SUV,Diesel,3.02
8.7,22.8,22.9,High,Sedan,Petrol,2.43
5.7,11.9,28.7,High,Sedan,Petrol,1.4
15.9,35.3,27,High,Hatchback,Diesel,3.04
19.5,34.8,33.6,Moderate,Hatchback,Petrol,3.73
9.4,15,37.5,Moderate,Motorcycle,Petrol,0.93
4.2,5,50.1,Low,Hatchback,Petrol,0.7
19.3,81.5,14.2,Severe,Hatchback,Petrol,5.51
16,21.8,44.1,Moderate,Sedan,Petrol,3.46
8.8,14.3,36.8,Moderate,Motorcycle,Petrol,0.88
7.7,60,7.7,Severe,Hatchback,Diesel,1.91
58.8,148.2,23.8,High,Hatchback,Diesel,12.36
24.5,42.5,34.6,Moderate,SUV,Petrol,7.41
8.2,11.1,44.4,Moderate,SUV,Petrol,2.35
11.2,50.9,13.2,Severe,Motorcycle,Petrol,1.76
4.9,9.4,31.4,Moderate,Motorcycle,Petrol,0.5
4.9,37.7,7.8,Severe,Motorcycle,Petrol,0.79
32,45,42.7,Moderate,SUV,Diesel,7.39
16.4,18,54.7,Low,SUV,Petrol,4.28
18.8,61.6,18.3,High,Sedan,Petrol,5.17
4.6,5.3,52,Low,Hatchback,Diesel,0.65
8.1,17.9,27.2,High,SUV,Diesel,2.24
25.5,61.4,24.9,High,Hatchback,Petrol,5.66
22.7,27.5,49.6,Low,Hatchback,Diesel,3.32
2.2,3,44.5,Moderate,SUV,Petrol,0.66
15.3,56.3,16.3,High,Motorcycle,Petrol,2.06
3.6,10.6,20.3,High,Hatchback,Diesel,0.7
16,17.2,55.9,Low,Motorcycle,Petrol,1.48
7.8,55.1,8.5,Severe,Motorcycle,Petrol,1.29
3.9,4.3,54.6,Low,SUV,Petrol,1.03
6.2,24.8,15,High,Hatchback,Petrol,1.45
32.5,106,18.4,High,Hatchback,Petrol,7.48
46.7,61.3,45.7,Low,Motorcycle,Petrol,4.01
6.9,24.6,16.8,High,Sedan,Petrol,1.95
2.8,5.2,32.3,Moderate,Hatchback,Petrol,0.54
40.6,206.4,11.8,Severe,Sedan,Petrol,13.41
30,83.7,21.5,High,SUV,Petrol,11.62
14.8,21.5,41.3,Moderate,Hatchback,Petrol,2.73
7.5,7.6,59.3,Low,Motorcycle,Petrol,0.68
17.5,23.3,45,Moderate,Hatchback,Diesel,2.79
17.2,40.8,25.3,High,Motorcycle,Petrol,1.97
45.1,64,42.3,Moderate,Sedan,Diesel,8.19
19,26.2,43.5,Moderate,SUV,Petrol,5.6
7.2,12.7,34.1,Moderate,SUV,Petrol,2.08
5.9,8.3,42.9,Moderate,Motorcycle,Petrol,0.6
13.2,14.4,54.9,Low,Hatchback,Petrol,2.09
8.3,27.1,18.4,High,SUV,Petrol,3.06
7.8,29.8,15.7,High,Hatchback,Petrol,1.85
29.9,49.3,36.4,Moderate,SUV,Petrol,9.04
25.1,49.7,30.3,Moderate,Motorcycle,Petrol,2.5
15.9,27.4,34.8,Moderate,Sedan,Petrol,3.38
10,12.3,48.8,Low,Sedan,Petrol,1.81
16.5,17.7,55.9,Low,Hatchback,Petrol,2.76
17.5,23.8,44.2,Moderate,Sedan,Petrol,3.71
6.5,11.7,33.2,Moderate,Hatchback,Petrol,1.2
6.8,24,17,High,SUV,Diesel,2.05
52.4,305.2,10.3,Severe,Sedan,Petrol,17.78
34,172.9,11.8,Severe,Motorcycle,Petrol,5.66
2.9,3.1,56.5,Low,Hatchback,Petrol,0.49
17.9,60.7,17.7,High,Hatchback,Petrol,3.96
8.7,23.4,22.3,High,Hatchback,Diesel,1.76
19.2,28.3,40.7,Moderate,Hatchback,Petrol,3.4
4.5,12.6,21.5,High,Sedan,Petrol,1.24
33.3,34.9,57.2,Low,Hatchback,Petrol,5.43
8.9,10.5,51.1,Low,Hatchback,Diesel,1.24
7.9,44.3,10.7,Severe,Sedan,Diesel,2.42
7.1,24.9,17.1,High,SUV,Petrol,2.58
15.9,53.9,17.7,High,Hatchback,Petrol,3.53
3.7,5,44.8,Moderate,Motorcycle,Petrol,0.37
29.3,45.7,38.5,Moderate,Hatchback,Petrol,5.64
5.5,9.4,35,Moderate,Hatchback,Diesel,0.93
13.1,25.3,31.1,Moderate,Motorcycle,Petrol,1.38
9.4,13.7,41.3,Moderate,Hatchback,Diesel,1.5
5.6,7.8,43.2,Moderate,Motorcycle,Petrol,0.54
16.8,43.1,23.4,High,Hatchback,Petrol,3.8
6.8,9.3,44,Moderate,Motorcycle,Petrol,0.68
17.7,24.8,42.9,Moderate,Hatchback,Petrol,2.99
9.2,17.3,31.9,Moderate,SUV,Petrol,2.76
4.6,12.1,22.8,High,Hatchback,Petrol,1.09
5.8,8.1,42.9,Moderate,Hatchback,Petrol,0.97
5.5,7.5,43.9,Moderate,Hatchback,Petrol,0.97
22.1,65.3,20.3,High,Hatchback,Petrol,5.2
18.6,48.7,22.9,High,Sedan,Petrol,5.12
18.4,104.2,10.6,Severe,Sedan,Diesel,5.91
19.4,32.9,35.4,Moderate,Hatchback,Petrol,3.52
2.7,4.3,38.1,Moderate,Hatchback,Diesel,0.43
8.6,9.4,55.1,Low,Hatchback,Diesel,1.17
11.8,17.8,39.8,Moderate,Hatchback,Petrol,2.17
15,33.3,27,High,Hatchback,Diesel,2.85
8.3,43.3,11.5,Severe,SUV,Diesel,3.33
8,73.8,6.5,Severe,SUV,Petrol,3.83
18.9,23.1,49,Low,Motorcycle,Petrol,1.67
20.9,29.9,41.9,Moderate,SUV,Diesel,4.89
29.1,48.6,35.9,Moderate,Hatchback,Diesel,4.81
17.6,22.5,47,Low,Motorcycle,Petrol,1.6
3.1,3.6,51,Low,Motorcycle,Petrol,0.27
23.4,41.5,33.8,Moderate,Sedan,Petrol,5.23
14.3,19.5,44,Moderate,Hatchback,Diesel,2.12
16.1,49,19.7,High,Motorcycle,Petrol,1.99
5,5.1,59.1,Low,Hatchback,Petrol,0.81
18.2,24.1,45.4,Low,Hatchback,Diesel,2.62
6.3,8.6,44.2,Moderate,SUV,Diesel,1.57
20.2,37.4,32.4,Moderate,Hatchback,Diesel,3.2
20.9,48.6,25.8,High,Motorcycle,Petrol,2.41
26.9,97.8,16.5,High,Motorcycle,Petrol,3.53
13.2,25.1,31.6,Moderate,SUV,Petrol,4.11
20.8,32.8,38.1,Moderate,Sedan,Diesel,3.94
16.3,22.7,43.1,Moderate,Hatchback,Petrol,2.9
28.8,83.1,20.8,High,SUV,Petrol,10.5
17.4,105.5,9.9,Severe,Sedan,Petrol,6.15
3.5,4.5,46.3,Low,Hatchback,Petrol,0.59
7.6,43.4,10.5,Severe,SUV,Diesel,2.89
34.6,35.9,57.8,Low,Motorcycle,Petrol,3.11
18,98.2,11,Severe,Hatchback,Petrol,5.28
4.8,7,41,Moderate,Motorcycle,Petrol,0.46
3.4,14.1,14.5,Severe,SUV,Petrol,1.61
2.2,7.7,17.2,High,Hatchback,Petrol,0.52
12.6,36.5,20.7,High,Motorcycle,Petrol,1.7
10,18.2,32.9,Moderate,Motorcycle,Petrol,1.02
9.2,10.5,52.5,Low,Sedan,Petrol,1.76
4.2,5.3,47.5,Low,Motorcycle,Petrol,0.38
6.1,9.3,39.2,Moderate,Motorcycle,Petrol,0.61
15,31.5,28.6,High,Hatchback,Petrol,3.06
29,51.9,33.5,Moderate,Hatchback,Diesel,4.68
11.6,21.5,32.3,Moderate,Sedan,Diesel,2.24
8.5,9.3,54.8,Low,Sedan,Diesel,1.39
2.6,10.7,14.6,Severe,SUV,Petrol,1.18
8.1,23.1,21,High,Sedan,Petrol,2.26
5.3,12.3,25.8,High,SUV,Diesel,1.46
4.7,7.5,37.7,Moderate,Sedan,Petrol,0.99
2.9,6.6,26.4,High,Hatchback,Petrol,0.61
30.6,32,57.3,Low,Hatchback,Diesel,4.11
31.7,55.3,34.4,Moderate,SUV,Diesel,8.23
18.7,29.5,38,Moderate,Motorcycle,Petrol,1.9
8.1,9.7,49.9,Low,Sedan,Petrol,1.51
3.1,12.4,15,High,SUV,Petrol,1.21
27.5,74.3,22.2,High,SUV,Petrol,10.56
50.9,70.9,43.1,Moderate,SUV,Diesel,11.85
3,5.5,32.7,Moderate,Sedan,Diesel,0.59
2.6,3.1,49.6,Low,Hatchback,Petrol,0.42
18,19.3,56,Low,Motorcycle,Petrol,1.69
18.6,68,16.4,High,Motorcycle,Petrol,2.39
26.1,52.7,29.7,High,Hatchback,Diesel,4.6
7.6,8.6,53.2,Low,Hatchback,Diesel,1.06
7.5,10,45,Low,Hatchback,Diesel,1.08
11.9,16.6,43.1,Moderate,Hatchback,Petrol,2.06
4,7.2,33.5,Moderate,SUV,Diesel,1.02
5.3,18.1,17.6,High,SUV,Diesel,1.6
15.3,21.7,42.3,Moderate,SUV,Diesel,3.84
6.4,13.6,28.2,High,Sedan,Diesel,1.45
23.1,65.7,21.1,High,SUV,Petrol,8.75
34.5,165.6,12.5,Severe,SUV,Petrol,16.18
6.4,63,6.1,Severe,Motorcycle,Petrol,1.01
17.9,32.2,33.4,Moderate,Sedan,Petrol,3.94
19.7,36,32.8,Moderate,SUV,Diesel,4.79
17.1,35.3,29.1,High,Hatchback,Diesel,3.14
7.2,11,39.4,Moderate,Hatchback,Petrol,1.26
28.1,30.8,54.8,Low,Hatchback,Diesel,3.98
14.4,23.4,36.9,Moderate,Sedan,Petrol,3.31
8.8,22.9,23.1,High,Hatchback,Diesel,1.71
19.9,69,17.3,High,Hatchback,Petrol,4.78
5.1,5.3,58,Low,Sedan,Petrol,0.95
6.9,9.5,43.4,Moderate,Hatchback,Petrol,1.23
16.3,18.9,51.7,Low,Hatchback,Petrol,2.7
4.1,5.9,41.5,Moderate,Sedan,Petrol,0.9
5.5,14.8,22.3,High,Sedan,Petrol,1.52
7.4,12.6,35.3,Moderate,Sedan,Petrol,1.61
6.1,13.6,27,High,SUV,Petrol,2.07
5.7,40.7,8.4,Severe,Hatchback,Petrol,1.7
5,13,23,High,Hatchback,Petrol,1.18
7.1,15.2,28.1,High,Hatchback,Petrol,1.54
39.1,45.2,51.9,Low,Hatchback,Petrol,6.32
8.7,9.8,53,Low,Hatchback,Petrol,1.43
9,16.5,32.8,Moderate,SUV,Petrol,2.7
15.4,23.8,38.9,Moderate,Sedan,Diesel,3.1
4.8,38.9,7.4,Severe,Hatchback,Diesel,1.25
20.7,30.9,40.2,Moderate,SUV,Diesel,4.96
18.7,28.3,39.7,Moderate,Hatchback,Diesel,2.98
6.5,21.8,17.9,High,Sedan,Petrol,1.84
45.8,73.3,37.5,Moderate,Sedan,Diesel,8.56
5.8,8.8,39.6,Moderate,Hatchback,Petrol,1.1
9.1,11.3,48.5,Low,Motorcycle,Petrol,0.8
38.3,75.1,30.6,Moderate,Sedan,Diesel,7.86
19.3,56.2,20.6,High,Hatchback,Petrol,4.28
11.2,60.5,11.1,Severe,Sedan,Petrol,3.79
3.4,30,6.8,Severe,Sedan,Petrol,1.14
16.6,32.8,30.4,Moderate,Sedan,Petrol,3.6
16.8,25.8,39,Moderate,Sedan,Petrol,3.54
23.5,46.8,30.1,Moderate,SUV,Diesel,5.84
12.2,12.8,57.4,Low,Motorcycle,Petrol,1.05
13.9,28.6,29.2,High,Motorcycle,Petrol,1.57
14.7,77.4,11.4,Severe,Sedan,Petrol,4.89
15.4,27.4,33.7,Moderate,Hatchback,Petrol,2.9
11.7,20.3,34.6,Moderate,SUV,Petrol,3.59
5.2,37.6,8.3,Severe,Hatchback,Petrol,1.44
2.4,9.2,15.7,High,Hatchback,Petrol,0.55
5.8,14.1,24.6,High,Hatchback,Petrol,1.33
17.4,62.5,16.7,High,SUV,Petrol,6.41
8.4,15.3,33,Moderate,Hatchback,Diesel,1.32
5.9,10.6,33.3,Moderate,Hatchback,Petrol,1.04
16.9,25.5,39.7,Moderate,Motorcycle,Petrol,1.84
2.3,3.6,38,Moderate,Hatchback,Diesel,0.36
14.8,29.5,30.1,Moderate,SUV,Petrol,4.36
3.5,6.1,34.6,Moderate,Hatchback,Diesel,0.59
14.8,39.1,22.7,High,Hatchback,Petrol,3.27
5.8,8.1,43,Moderate,Sedan,Diesel,1.08
3.3,8.3,23.8,High,Hatchback,Petrol,0.74
6.7,9.3,43.3,Moderate,Sedan,Petrol,1.47
6.9,9.9,41.9,Moderate,SUV,Petrol,1.98
14.8,23.4,38,Moderate,Hatchback,Diesel,2.44
7.6,12.6,36.1,Moderate,Sedan,Diesel,1.44
4.2,19.7,12.8,Severe,Hatchback,Diesel,1.11
17.2,28.2,36.6,Moderate,Sedan,Diesel,3.49
24.9,74,20.2,High,Sedan,Diesel,6.23
20.8,24.2,51.6,Low,Sedan,Diesel,3.57
32.7,71.9,27.3,High,Hatchback,Petrol,6.96
26.8,35.6,45.2,Low,Hatchback,Petrol,4.2
58.1,130.1,26.8,High,SUV,Petrol,19.82
27.8,44,37.9,Moderate,Hatchback,Diesel,4.56
6,13,27.7,High,Hatchback,Petrol,1.23
47.3,83.2,34.1,Moderate,Motorcycle,Petrol,4.95
20.3,48.9,24.9,High,Motorcycle,Petrol,2.72
18.5,51.2,21.7,High,Sedan,Petrol,4.87
33.9,61.1,33.3,Moderate,SUV,Petrol,10.52
6,13.7,26.3,High,Sedan,Diesel,1.37
12,47.1,15.3,High,SUV,Petrol,4.37
10.1,58.8,10.3,Severe,Motorcycle,Petrol,1.73
7.2,13.6,31.8,Moderate,SUV,Petrol,2.07
18.3,39.5,27.8,High,SUV,Petrol,6.14
24.5,81.2,18.1,High,Hatchback,Petrol,5.75
15,25,36,Moderate,Motorcycle,Petrol,1.49
15.1,23.5,38.5,Moderate,Hatchback,Petrol,2.82
16.3,21.9,44.6,Moderate,Motorcycle,Petrol,1.67
4.9,30.9,9.5,Severe,Hatchback,Diesel,1.29
23.6,43.2,32.8,Moderate,Hatchback,Diesel,3.66
5.1,19.6,15.6,High,Hatchback,Petrol,1.14
14.6,37.8,23.2,High,Sedan,Diesel,3.52
9.3,14.8,37.8,Moderate,Hatchback,Petrol,1.64
14.1,18.2,46.6,Low,Motorcycle,Petrol,1.26
29.5,46.6,38,Moderate,SUV,Diesel,7.43
9.8,108.9,5.4,Severe,SUV,Petrol,4.45
35.2,41.2,51.3,Low,Sedan,Diesel,5.99
7.1,19.5,21.8,High,Sedan,Petrol,1.96
19.3,30,38.6,Moderate,Hatchback,Petrol,3.48
19.2,47.2,24.4,High,SUV,Petrol,6.94
17.6,26.9,39.2,Moderate,Sedan,Petrol,3.79
37.8,82.5,27.5,High,SUV,Petrol,13.41
5.9,8.2,43.3,Moderate,Hatchback,Diesel,0.94
59.6,135.5,26.4,High,SUV,Diesel,17.68
10.4,18.9,33.1,Moderate,Sedan,Petrol,2.18
15.5,22.6,41.2,Moderate,Motorcycle,Petrol,1.49
5.2,14.4,21.7,High,SUV,Petrol,1.99
16.2,16.4,59.3,Low,Hatchback,Diesel,2.35
39.7,50.7,47,Low,Hatchback,Petrol,6.06
7.2,7.4,58,Low,Motorcycle,Petrol,0.66
13.6,27.1,30.1,Moderate,SUV,Petrol,3.9
16.9,53.1,19.1,High,Sedan,Petrol,4.56
18.4,69.4,15.9,High,Sedan,Petrol,4.82
11.4,29.5,23.2,High,Sedan,Petrol,3.19
17.4,76.2,13.7,Severe,Sedan,Petrol,5.8
6,11.2,32.2,Moderate,Hatchback,Petrol,1.15
12.1,23,31.6,Moderate,SUV,Petrol,3.52
5.5,18.1,18.2,High,Sedan,Petrol,1.49
11.7,108,6.5,Severe,Hatchback,Petrol,3.49
9.1,17.1,32,Moderate,Sedan,Petrol,2.09
10.1,15.5,39.1,Moderate,Hatchback,Petrol,1.82
8.4,95.1,5.3,Severe,Sedan,Petrol,2.77
10.3,19.1,32.4,Moderate,Hatchback,Petrol,1.88
6.1,14.8,24.8,High,Sedan,Petrol,1.59
24.7,116.7,12.7,Severe,SUV,Diesel,10.34
3.3,6.7,29.5,High,Sedan,Petrol,0.8
2.4,10.8,13.3,Severe,SUV,Petrol,1.16
22.8,25,54.7,Low,Hatchback,Petrol,3.54
17.6,18.9,56,Low,Motorcycle,Petrol,1.62
13.1,29.1,27,High,Sedan,Petrol,3.31
3.5,10.3,20.3,High,Hatchback,Diesel,0.7
5.7,13.3,25.8,High,Hatchback,Diesel,1.01
32.4,51,38.1,Moderate,Hatchback,Petrol,5.75
11.1,64,10.4,Severe,Motorcycle,Petrol,1.74
28.1,40.7,41.4,Moderate,Hatchback,Petrol,4.96
5.8,8.1,43.2,Moderate,Motorcycle,Petrol,0.58
5.7,24.3,14.1,Severe,Sedan,Petrol,1.95
8,12,39.9,Moderate,Motorcycle,Petrol,0.87
2.3,3.2,42.7,Moderate,Hatchback,Petrol,0.39
7.9,16.3,29,High,SUV,Diesel,2.21
17.3,21.6,48,Low,Hatchback,Petrol,2.78
12.7,141.1,5.4,Severe,Hatchback,Petrol,3.85
4.2,4.5,55.7,Low,Hatchback,Petrol,0.65
14.9,137.5,6.5,Severe,Hatchback,Diesel,3.59
3.7,4.9,45.3,Low,Sedan,Petrol,0.69
14,26.5,31.7,Moderate,Hatchback,Petrol,2.61
20,25.6,46.8,Low,SUV,Petrol,5.44
25.8,63.4,24.4,High,SUV,Petrol,9.64
31.1,49.1,38,Moderate,SUV,Diesel,8.09
13.9,20.3,41,Moderate,Hatchback,Diesel,2.24
33,53.2,37.2,Moderate,Hatchback,Petrol,5.82
32.2,189.4,10.2,Severe,SUV,Petrol,14.6
8.7,90,5.8,Severe,Hatchback,Diesel,2.17
15.6,27.6,33.9,Moderate,Sedan,Diesel,3.2
9.8,12,48.9,Low,SUV,Petrol,2.51
3.9,7.7,30.4,Moderate,Hatchback,Diesel,0.64
6.7,14.4,27.9,High,Sedan,Petrol,1.6
3.1,7.2,25.8,High,SUV,Diesel,0.9
6.1,31.8,11.5,Severe,Sedan,Petrol,2.16
38.7,135.8,17.1,High,Sedan,Petrol,10.12
4.6,5.7,48.4,Low,Motorcycle,Petrol,0.42
4.5,37.5,7.2,Severe,Motorcycle,Petrol,0.7
3.3,3.5,56.6,Low,Motorcycle,Petrol,0.3
6.4,13.2,29.1,High,Sedan,Diesel,1.5
2.1,4.4,28.4,High,Hatchback,Petrol,0.44
2.4,4.7,30.4,Moderate,Hatchback,Petrol,0.44
10.3,23.6,26.2,High,Hatchback,Diesel,1.82
19.3,32.8,35.3,Moderate,Hatchback,Diesel,3.05
13.7,22.6,36.4,Moderate,SUV,Petrol,4.24
33.7,102.6,19.7,High,SUV,Diesel,10.45
3.2,4.3,44.8,Moderate,Motorcycle,Petrol,0.31
20.4,61.2,20,High,Hatchback,Petrol,4.81
12,32.1,22.4,High,Hatchback,Petrol,2.78
5.9,10.9,32.5,Moderate,Motorcycle,Petrol,0.63
11.3,15.3,44.3,Moderate,Hatchback,Diesel,1.74
30.6,52,35.3,Moderate,SUV,Petrol,8.87
9.9,53,11.2,Severe,Sedan,Diesel,3.16
8.9,13.6,39.4,Moderate,Sedan,Diesel,1.78
16.4,32.3,30.5,Moderate,Motorcycle,Petrol,1.64
15,26.1,34.5,Moderate,Hatchback,Petrol,2.87
24.6,40.7,36.3,Moderate,SUV,Petrol,7.13
2.7,7.5,21.5,High,Hatchback,Diesel,0.54
6.6,6.7,59.5,Low,SUV,Petrol,1.68
31.5,33.9,55.7,Low,Sedan,Petrol,6.02
14.6,15.9,55,Low,Hatchback,Petrol,2.38
15,33.2,27.1,High,SUV,Petrol,5
28.1,185.3,9.1,Severe,Motorcycle,Petrol,4.36
32.2,284.1,6.8,Severe,Hatchback,Diesel,8.02
12.8,43.1,17.8,High,Motorcycle,Petrol,1.59
4.5,11.8,22.9,High,Hatchback,Diesel,0.91
7.8,22.5,20.8,High,Motorcycle,Petrol,0.98
7.6,8.8,51.7,Low,SUV,Petrol,2.06
2.7,3.7,44.1,Moderate,Hatchback,Diesel,0.41
2.9,6.6,26.2,High,Sedan,Petrol,0.73
8.2,9,54.5,Low,Hatchback,Diesel,1.18
30.3,69.1,26.3,High,Hatchback,Petrol,6.11
18.5,40.7,27.3,High,Hatchback,Petrol,3.69
3.6,6.5,33.4,Moderate,Sedan,Diesel,0.67
28.4,61.7,27.6,High,Sedan,Petrol,6.83
17.6,48,22,High,Motorcycle,Petrol,2.19
7.5,8.3,54.2,Low,Motorcycle,Petrol,0.65
30.2,76.1,23.8,High,Motorcycle,Petrol,3.81
11.2,13.4,50.1,Low,Hatchback,Petrol,1.78
33.5,35.3,57,Low,Sedan,Diesel,5.82
4.8,12.8,22.5,High,Hatchback,Diesel,0.98
8.4,8.7,58.1,Low,Motorcycle,Petrol,0.73
25.9,25.9,59.9,Low,Sedan,Diesel,4.43
23.9,93.7,15.3,High,SUV,Diesel,7.45
7.5,10.5,42.7,Moderate,Motorcycle,Petrol,0.73
18.8,22.7,49.8,Low,SUV,Diesel,4.3
25.8,26.3,58.9,Low,Hatchback,Petrol,4.33
51.2,108.2,28.4,High,Hatchback,Diesel,9.6
16.2,41,23.7,High,Hatchback,Diesel,3.26
2.1,10.2,12.4,Severe,Sedan,Diesel,0.67
3.8,4.5,50.5,Low,Hatchback,Petrol,0.6
28.3,49.4,34.4,Moderate,SUV,Petrol,8.64
32.9,51.7,38.2,Moderate,Hatchback,Petrol,6.27
24.1,42.7,33.9,Moderate,Motorcycle,Petrol,2.5
28.8,38.9,44.4,Moderate,Hatchback,Petrol,4.99
19.1,21.5,53.2,Low,Hatchback,Petrol,3.05
22,31.8,41.5,Moderate,Sedan,Petrol,4.53
8.8,20,26.4,High,SUV,Petrol,2.92
3.2,8.9,21.5,High,SUV,Diesel,1.04
5.7,6.8,50.4,Low,Sedan,Petrol,1.05
27,38.5,42.1,Moderate,SUV,Petrol,8.1
14.8,48.8,18.2,High,Sedan,Petrol,3.93
3.5,5,42.3,Moderate,SUV,Petrol,0.98
11.8,13.3,53.4,Low,Hatchback,Diesel,1.63
19.8,66.7,17.8,High,Sedan,Petrol,5.16
4,4.4,54.8,Low,Hatchback,Petrol,0.64
8.7,14.9,35.1,Moderate,SUV,Diesel,2.19
3.1,10.2,18.3,High,Sedan,Diesel,0.78
14.1,54.6,15.5,High,Hatchback,Diesel,2.84
7.4,8,55.4,Low,SUV,Diesel,1.59
2.2,3.1,42.5,Moderate,SUV,Petrol,0.63
19.6,27.5,42.8,Moderate,Sedan,Petrol,3.9
7.2,11.7,36.8,Moderate,SUV,Petrol,2.24
13.4,22,36.5,Moderate,Hatchback,Diesel,2.06
27.9,35.1,47.7,Low,Hatchback,Petrol,4.61
12.1,15.3,47.6,Low,Motorcycle,Petrol,1.05
8.1,17.7,27.5,High,SUV,Petrol,2.79
37.7,39.9,56.7,Low,Hatchback,Diesel,5.21
8.7,13.6,38.3,Moderate,Hatchback,Petrol,1.54
6.6,9.3,42.8,Moderate,Hatchback,Petrol,1.12
9.7,15.2,38.2,Moderate,Hatchback,Diesel,1.53
12.7,47.9,15.9,High,Sedan,Diesel,3.09
31.4,143.8,13.1,Severe,Hatchback,Diesel,7.92
18.9,39,29.1,High,Hatchback,Petrol,3.84
22.8,155.5,8.8,Severe,Hatchback,Petrol,6.82
4.2,5.6,44.7,Moderate,Motorcycle,Petrol,0.4
6.5,14.8,26.3,High,Hatchback,Petrol,1.42
16.1,116.4,8.3,Severe,SUV,Petrol,7.67
7.6,46.1,9.9,Severe,Sedan,Petrol,2.72
5.1,10,30.7,Moderate,Motorcycle,Petrol,0.53
3,5,36.3,Moderate,Hatchback,Petrol,0.54
28.3,38,44.7,Moderate,Sedan,Petrol,6.06
10.2,27.1,22.6,High,Sedan,Petrol,2.65
19.9,43.1,27.7,High,Hatchback,Petrol,3.97
11,49.3,13.4,Severe,Sedan,Petrol,3.89
31.6,137.4,13.8,Severe,Hatchback,Petrol,8.94
10.3,14.2,43.5,Moderate,Hatchback,Petrol,1.76
3.3,6.5,30.6,Moderate,SUV,Diesel,0.86
9.8,10.1,58.3,Low,Hatchback,Petrol,1.54
19,31.6,36.1,Moderate,Sedan,Petrol,4.19
12.1,12.8,56.6,Low,Hatchback,Petrol,2
3.3,6.6,30.1,Moderate,Sedan,Petrol,0.74
16.5,17.2,57.5,Low,SUV,Diesel,3.48
20.9,47.7,26.3,High,Hatchback,Diesel,3.88
19.5,24.1,48.6,Low,Sedan,Petrol,3.7
5,5.1,58.6,Low,Hatchback,Petrol,0.83
15.7,112.1,8.4,Severe,Motorcycle,Petrol,2.46
5.2,6.4,48.4,Low,Sedan,Petrol,0.98
32.8,56.6,34.8,Moderate,SUV,Petrol,10.26
